Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,533.0,545.400024,531.5,540.0,540.0,6604953
2016-09-29,543.0,546.900024,516.650024,526.299988,526.299988,9315794
2016-09-30,525.599976,536.549988,521.200012,534.849976,534.849976,5659248
2016-10-03,539.400024,546.0,539.0,540.799988,540.799988,4505939
2016-10-04,547.400024,552.400024,540.650024,549.950012,549.950012,5715454
2016-10-05,555.299988,562.400024,549.75,559.650024,559.650024,5929204
2016-10-06,563.099976,564.200012,549.099976,551.450012,551.450012,4273945
2016-10-07,554.5,567.299988,552.599976,565.700012,565.700012,9122002
2016-10-10,571.099976,571.099976,560.900024,562.049988,562.049988,3673211
2016-10-13,556.900024,556.900024,537.0,544.849976,544.849976,9510827
2016-10-14,546.0,557.450012,545.0,556.099976,556.099976,5872827
2016-10-17,557.849976,557.849976,545.900024,547.549988,547.549988,3463154
2016-10-18,549.200012,556.0,549.200012,554.25,554.25,3965424
2016-10-19,552.049988,554.900024,545.049988,550.5,550.5,4275157
2016-10-20,553.049988,554.0,546.0,546.849976,546.849976,2770011
2016-10-21,549.0,550.0,541.5,544.5,544.5,2789747
2016-10-24,544.0,564.0,543.549988,559.799988,559.799988,5161299
2016-10-25,549.849976,561.0,549.099976,553.799988,553.799988,5690576
2016-10-26,548.0,548.0,523.150024,530.049988,530.049988,6665017
2016-10-27,515.599976,525.75,510.75,522.0,522.0,18470182
2016-10-28,527.0,539.950012,525.099976,537.0,537.0,5665910
2016-11-01,534.400024,537.900024,525.049988,530.599976,530.599976,6848662
2016-11-02,522.599976,526.0,512.349976,513.299988,513.299988,4750117
2016-11-03,509.799988,521.450012,505.200012,510.200012,510.200012,6909458
2016-11-04,509.25,516.349976,501.60000599999995,512.299988,512.299988,7564243
2016-11-07,513.0,521.299988,505.049988,506.35000599999995,506.35000599999995,5507954
2016-11-08,518.400024,543.0,517.0,540.200012,540.200012,12739083
2016-11-09,501.14999400000005,544.0,500.0,533.5,533.5,10276017
2016-11-10,536.0,549.349976,531.5,533.700012,533.700012,6906437
2016-11-11,526.5,530.0,505.0,507.299988,507.299988,7823667
2016-11-15,484.89999400000005,484.89999400000005,453.0,457.39999400000005,457.39999400000005,15356070
2016-11-16,468.450012,471.700012,450.0,458.450012,458.450012,10855618
2016-11-17,460.0,476.0,459.64999400000005,472.85000599999995,472.85000599999995,8949767
2016-11-18,469.89999400000005,473.85000599999995,461.85000599999995,471.25,471.25,7246244
2016-11-21,468.0,472.799988,451.5,456.950012,456.950012,7325876
2016-11-22,464.049988,471.0,453.299988,464.85000599999995,464.85000599999995,6644867
2016-11-23,467.0,475.299988,462.0,471.5,471.5,6727083
2016-11-24,466.35000599999995,466.35000599999995,449.700012,452.950012,452.950012,8046995
2016-11-25,454.10000599999995,456.35000599999995,443.14999400000005,452.35000599999995,452.35000599999995,7426347
2016-11-28,451.25,460.0,450.5,454.700012,454.700012,5025929
2016-11-29,455.0,466.299988,451.35000599999995,459.85000599999995,459.85000599999995,8570549
2016-11-30,460.0,463.799988,455.10000599999995,459.299988,459.299988,8377510
2016-12-01,457.0,457.700012,446.89999400000005,448.200012,448.200012,7706825
2016-12-02,445.0,453.5,431.14999400000005,432.89999400000005,432.89999400000005,10450654
2016-12-05,436.0,441.0,428.299988,439.299988,439.299988,8211182
2016-12-06,441.0,445.89999400000005,438.10000599999995,441.10000599999995,441.10000599999995,4209420
2016-12-07,440.0,449.200012,439.25,445.35000599999995,445.35000599999995,5559803
2016-12-08,451.200012,464.39999400000005,451.200012,461.549988,461.549988,8176055
2016-12-09,464.950012,468.549988,460.60000599999995,464.10000599999995,464.10000599999995,5690877
2016-12-12,461.950012,461.950012,451.049988,454.39999400000005,454.39999400000005,3837786
2016-12-13,476.799988,486.25,462.25,470.64999400000005,470.64999400000005,63880404
2016-12-14,470.200012,476.799988,462.64999400000005,472.35000599999995,472.35000599999995,7660437
2016-12-15,464.0,473.60000599999995,462.5,463.200012,463.200012,6539067
2016-12-16,465.0,474.89999400000005,464.200012,473.14999400000005,473.14999400000005,9015744
2016-12-19,470.89999400000005,478.549988,465.5,471.799988,471.799988,5445624
2016-12-20,473.0,475.0,469.10000599999995,473.14999400000005,473.14999400000005,3690160
2016-12-21,473.5,474.5,467.10000599999995,468.5,468.5,3492856
2016-12-22,468.14999400000005,472.950012,464.799988,469.60000599999995,469.60000599999995,5436494
2016-12-23,464.950012,468.299988,460.0,465.64999400000005,465.64999400000005,3957854
2016-12-26,465.5,465.5,455.60000599999995,457.85000599999995,457.85000599999995,3282425
2016-12-27,460.0,468.75,457.39999400000005,466.950012,466.950012,3164664
2016-12-28,467.0,468.64999400000005,462.0,463.35000599999995,463.35000599999995,3772181
2016-12-29,462.75,472.700012,459.35000599999995,470.89999400000005,470.89999400000005,4763171
2016-12-30,471.0,475.0,467.5,472.0,472.0,3605555
2017-01-02,472.0,488.700012,469.049988,487.049988,487.049988,4024156
2017-01-03,491.0,492.700012,479.89999400000005,481.10000599999995,481.10000599999995,5814518
2017-01-04,484.64999400000005,493.700012,484.10000599999995,486.64999400000005,486.64999400000005,4769872
2017-01-05,496.0,503.39999400000005,495.549988,502.14999400000005,502.14999400000005,7961242
2017-01-06,502.950012,507.950012,496.25,497.75,497.75,4907475
2017-01-09,499.39999400000005,504.60000599999995,492.14999400000005,500.14999400000005,500.14999400000005,3932710
2017-01-10,506.549988,518.0,505.950012,516.25,516.25,7973024
2017-01-11,520.25,523.950012,517.150024,519.25,519.25,4886398
2017-01-12,521.700012,524.0,513.200012,518.25,518.25,4219627
2017-01-13,523.25,523.25,507.5,514.849976,514.849976,6367248
2017-01-16,518.650024,529.450012,517.0,526.400024,526.400024,6084582
2017-01-17,528.099976,530.799988,521.0,523.700012,523.700012,4297426
2017-01-18,523.049988,529.599976,521.200012,522.450012,522.450012,5874608
2017-01-19,523.0,535.599976,522.700012,531.450012,531.450012,5810128
2017-01-20,527.400024,529.299988,521.25,523.200012,523.200012,5013928
2017-01-23,523.200012,534.950012,523.0,532.700012,532.700012,4209879
2017-01-24,533.0,543.0,532.349976,541.549988,541.549988,5183630
2017-01-25,543.25,551.900024,541.549988,548.900024,548.900024,4504941
2017-01-27,549.0,552.0,539.75,541.950012,541.950012,4493803
2017-01-30,542.0,543.5,530.799988,532.299988,532.299988,4163428
2017-01-31,530.200012,531.5,518.0,523.549988,523.549988,6035022
2017-02-01,527.5,544.5,522.900024,542.25,542.25,4786720
2017-02-02,537.599976,537.599976,526.799988,531.5,531.5,6579801
2017-02-03,531.900024,531.900024,519.5,522.599976,522.599976,5298261
2017-02-06,527.900024,531.450012,523.200012,525.849976,525.849976,3642527
2017-02-07,524.799988,524.799988,502.0,506.799988,506.799988,7987282
2017-02-08,512.349976,514.950012,506.299988,513.049988,513.049988,5975054
2017-02-09,515.400024,518.0,505.75,512.849976,512.849976,4099871
2017-02-10,513.0,514.799988,506.5,509.549988,509.549988,4732032
2017-02-13,512.700012,512.700012,503.299988,505.299988,505.299988,4700518
